lat,lon,origen,peso_pico,tipo
-33.469,-69.221,Interno (Captura Propia),85,Video
-33.469,-69.22,Interno (Captura Propia),1,Video
-33.458,-69.149,Interno (Captura Propia),1,Imagen
-33.336,-68.921,Interno (Captura Propia),1,Video
-33.101,-67.984,Interno (Captura Propia),1,Video
-33.1,-68.018,Interno (Captura Propia),1,Video
-33.1,-68.013,Interno (Captura Propia),1,Video
-33.1,-68.001,Interno (Captura Propia),1,Video
-33.085,-68.876,Interno (Captura Propia),1,Video
-33.084,-68.876,Interno (Captura Propia),1,Video
-33.078,-69.05,Interno (Captura Propia),1,Imagen
-33.077,-69.044,Interno (Captura Propia),1,Imagen
-33.064,-68.481,Interno (Captura Propia),1,Video
-33.062,-68.507,Interno (Captura Propia),1,Video
-33.062,-68.499,Interno (Captura Propia),1,Video
-32.973,-68.734,Interno (Captura Propia),1,Video
-32.973,-68.733,Interno (Captura Propia),2,Imagen
-32.969,-68.567,Interno (Captura Propia),4,Video
-32.968,-68.573,Interno (Captura Propia),1,Video
-32.968,-68.572,Interno (Captura Propia),1,Video
-32.968,-68.57,Interno (Captura Propia),3,Video
-32.967,-68.577,Interno (Captura Propia),58,Video
-32.967,-68.57,Interno (Captura Propia),1,Imagen
-32.966,-68.584,Interno (Captura Propia),8,Video
-32.938,-69.208,Interno (Captura Propia),6,Video
-32.937,-69.208,Interno (Captura Propia),1,Video
-32.899,-68.86,Interno (Captura Propia),14,Video
-32.899,-68.859,Interno (Captura Propia),2,Video
-32.899,-68.855,Interno (Captura Propia),2,Video
-32.896,-68.845,Interno (Captura Propia),2,Video
-32.895,-68.817,Interno (Captura Propia),21,Video
-32.895,-68.816,Interno (Captura Propia),5,Video
-32.891,-68.849,Interno (Captura Propia),2,Video
-32.89,-68.845,Interno (Captura Propia),4,Imagen
-32.888,-68.838,Interno (Captura Propia),2,Video
-32.85,-68.805,Interno (Captura Propia),2,Video
-32.828,-68.799,Interno (Captura Propia),3,Video
-32.827,-68.8,Interno (Captura Propia),4,Video
-32.824,-68.795,Interno (Captura Propia),1,Video
-32.823,-68.794,Interno (Captura Propia),1,Video
-32.595,-62.475,Interno (Captura Propia),3,Imagen
-31.488,-64.247,Interno (Captura Propia),20,Imagen
-31.487,-64.247,Interno (Captura Propia),3,Imagen
-31.487,-64.246,Interno (Captura Propia),17,Imagen
-31.487,-64.245,Interno (Captura Propia),7,Imagen
-31.464,-64.05,Interno (Captura Propia),1,Imagen
-31.463,-64.051,Interno (Captura Propia),1,Imagen
-31.424,-64.19,Interno (Captura Propia),3,Imagen
-31.416,-64.175,Interno (Captura Propia),1,Imagen
